"";"ID";"N";"P";"K";"Ca";"Mg";"Na";"S";"Fe";"Cu";"Mn";"Zn";"B"
"1";"J";"0,76";"0,16";"0,97";"0,56";"0,20";"0,00142";"0,15";"100,50";"9,27";"46,81";"12,67";"34,66"
"2";"K";"1,08";"0,15";"0,97";"0,49";"0,17";"0,00197";"0,14";"88,74";"7,83";"38,53";"11,52";"44,34"
"3";"GxA";"0,69";"0,15";"0,88";"0,55";"0,18";"0,00032";"0,15";"86,91";"6,53";"50,52";"16,79";"27,66"
"4";"M";"2,84";"0,17";"1,02";"0,56";"0,18";"0,00225";"0,15";"103,58";"7,86";"25,49";"12,29";"40,00"
"5";"N";"3,02";"0,18";"0,95";"0,52";"0,22";"0,00395";"0,15";"81,26";"8,37";"91,18";"17,50";"30,83"
"6";"LOTE A";"1,29";"0,17";"0,89";"0,50";"0,20";"0,00026";"0,16";"169,29";"5,99";"55,40";"18,71";"31,33"
"7";"LOTE B";"2,24";"0,18";"1,01";"0,55";"0,21";"0,00067";"0,16";"197,23";"5,40";"71,90";"18,24";"56,19"
"8";"LOTE C";"1,13";"0,18";"1,02";"0,53";"0,15";"<0,0003";"0,16";"140,62";"5,10";"50,28";"15,78";"55,52"
"9";"LOTE D";"2,81";"0,17";"0,97";"0,44";"0,18";"<0,0003";"0,15";"131,53";"5,26";"83,90";"16,39";"30,16"
"10";"LOTE E";"2,98";"0,16";"1,08";"0,44";"0,17";"<0,0003";"0,15";"93,25";"5,57";"58,88";"15,46";"54,02"
"11";"LOTE F";"2,10";"0,16";"1,05";"0,42";"0,19";"0,00168";"0,15";"98,24";"5,16";"64,10";"16,52";"28,49"
"12";"LOTE G";"0,83";"0,17";"1,21";"0,39";"0,19";"0,00531";"0,16";"90,35";"5,79";"97,20";"14,68";"37,83"
"13";"LOTE H";"2,30";"0,16";"0,87";"0,50";"0,17";"<0,0003";"0,16";"101,38";"4,87";"58,65";"13,89";"25,82"
"14";"LOTE I";"3,24";"0,16";"0,84";"0,46";"0,20";"<0,0003";"0,15";"96,16";"7,50";"96,12";"13,04";"23,15"
"15";"LOTE G-4";"3,54";"0,17";"0,92";"0,37";"0,21";"0,00159";"0,16";"84,93";"6,39";"54,78";"13,15";"23,48"
"16";"LOTE MANGO";"3,06";"0,15";"0,81";"0,51";"0,19";"0,00170";"0,15";"73,75";"4,97";"76,39";"13,75";"25,32"
"17";"LOTE POTRERO";"1,44";"0,18";"0,93";"0,35";"0,17";"0,00547";"0,17";"73,78";"5,42";"68,06";"15,63";"0,00"
